ID;Nbr;Length;Width;Height;NestedHeight;Weight;SC;MaxStackability;Orientation;ListOfTrucks;ListOfInventoryCosts
0090018000_27022023000001;1;1600;1200;975;45;190.0;GERB--1613_1600_1200;100;none;P115730501_0-P115730501_1-P115730503_0-P115730503_1-P115730505_0-P115730505_1-P114730501_0-P114730501_1-P114730503_0-P114730507_0-P114730507_1-P110730503_0-P110730503_1-P110730505_0-P110730505_1;0-0-0-0-0-0-5-5-5-5-5-25-25-25-25
0090018000_27022023000002;1;1200;1000;459;0;47.02;GERB--3551_1200_1000;100;none;P090730301_0-P090730301_1-P090730305_0-P090730305_1-P089730301_0-P089730301_1-P089730305_0-P089730305_1;0-0-0-0-11-11-11-11
0090018000_27022023000003;1;1200;1000;1057;0;101.55;GERB--3551_1200_1000;100;none;P104730301_0-P104730301_1-P103730301_0-P103730301_1-P103730305_0-P103730305_1;0-0-2-2-2-2
0090018000_27022023000004;1;1200;1000;930;45;413.58;GERB--1213_1200_1000;100;none;P101721701_0-P101721701_1-P100731001_0-P100731001_1-P100731005_0-P100731005_1;0-0-5-5-5-5
0090018000_27022023000005;2;1200;1000;750;45;106.03;GERB--1213_1200_1000;100;none;P088730301_0-P088730301_1-P088730305_0-P088730305_1-P087722401_0-P087722401_1-P087722401_2-P087730301_0-P087730301_1-P087730303_0-P087730303_1;0-0-0-0-1-1-1-1-1-1-1
0090018000_27022023000006;1;1600;1200;975;45;184.6;GERB--1613_1600_1200;100;none;P116730503_0-P116730503_1-P115730501_0-P115730501_1-P115730503_0-P115730503_1-P115730505_0-P115730505_1-P114730501_0-P114730501_1-P114730503_0-P114730507_0-P114730507_1;0-0-3-3-3-3-3-3-6-6-6-6-6
0090018000_27022023000007;1;800;600;445;0;16.67;GERB--3543_800_600;100;none;P110730401_0-P110730401_1-P109730401_0-P109730401_1-P109730403_0-P109730403_1-P109730405_0-P109730405_1-P109730407_0-P109730407_1-P108721901_0-P108721901_1-P108730401_0-P108730401_1-P108730403_0-P108730403_1-P108730405_0-P108730405_1-P108730407_0;0-0-7-7-7-7-7-7-7-7-14-14-14-14-14-14-14-14-14
0090018000_27022023000008;2;1600;1200;975;45;178.6;GERB--1613_1600_1200;100;none;P073730501_0-P073730501_1-P073730505_0-P073730505_1-P072730501_0-P072730501_1-P072730503_0-P072730507_0-P072730507_1-P069730501_0-P069730501_1;0-0-0-0-2-2-2-2-2-8-8
0090018000_27022023000009;1;2350;1000;950;45;267.04;GERB--1058_2350_1000;100;none;P110733303_0-P110733303_1-P109730303_0-P109730303_1;0-0-2-2
0090018000_27022023000010;4;1600;1200;930;45;174.305;GERB--1613_1600_1200;100;none;P108721901_0-P108721901_1-P108730401_0-P108730401_1-P107730401_0-P107730401_1-P107730403_0-P107730403_1-P107730405_0-P107730405_1-P107730407_0-P107730407_1-P104721903_0-P104721903_1-P104730401_0-P104730401_1-P104730403_0-P104730403_1-P104730405_0-P104730405_1-P104730407_0;0-0-0-0-2-2-2-2-2-2-2-2-8-8-8-8-8-8-8-8-8
