ID;Length;Width;Height;Weight;Density;ListOfItems;TruckCost
P061721401_0;14940;2500;2950;24000;1500;0090018000_27022023000101-0090018000_27022023000321-0090018000_27022023000324-0090018000_27022023000588-0090018000_27022023000962-0090018000_27022023001126-0090018000_27022023001158-0090018000_27022023001292-0090018000_27022023001352-0090018000_27022023001686-0090018000_27022023001704-0090018000_27022023001880-0090018000_27022023001989-0090018000_27022023002052-0090018000_27022023002198-0090018000_27022023002220-0090018000_27022023002374-0090018000_27022023002549-0090018000_27022023002616-0090018000_27022023002896-0090018000_27022023003218-0090018000_27022023003297-0090018000_27022023003384-0090018000_27022023003430-0090018000_27022023003742-0090018000_27022023003972-0090018000_27022023004792-0090018000_27022023004822-0090018000_27022023004980-0090018000_27022023005515-0090018000_27022023005770-0090018000_27022023005823-0090018000_27022023005953-0090018000_27022023006103-0090018000_27022023006327-0090018000_27022023006430-0090018000_27022023006707-0090018000_27022023007057-0090018000_27022023007115-0090018000_27022023007134-0090018000_27022023007135-0090018000_27022023007246-0090018000_27022023007309-0090018000_27022023007396-0090018000_27022023007456-0090018000_27022023007854-0090018000_27022023007910-0090018000_27022023008172-0090018000_27022023008387-0090018000_27022023008574-0090018000_27022023008766-0090018000_27022023008966-0090018000_27022023008993-0090018000_27022023009163-0090018000_27022023009615-0090018000_27022023009655-0090018000_27022023009745-0090018000_27022023009798-0090018000_27022023009826-0090018000_27022023009834-0090018000_27022023010090-0090018000_27022023010370-0090018000_27022023010457-0090018000_27022023010698-0090018000_27022023010737-0090018000_27022023011307-0090018000_27022023011645-0090018000_27022023011777-0090018000_27022023011817-0090018000_27022023011831-0090018000_27022023011905-0090018000_27022023012410-0090018000_27022023012500-0090018000_27022023012703-0090018000_27022023012763-0090018000_27022023012765-0090018000_27022023013052-0090018000_27022023013331-0090018000_27022023013368-0090018000_27022023013475-0090018000_27022023013538-0090018000_27022023013662-0090018000_27022023014401-0090018000_27022023014450-0090018000_27022023014731-0090018000_27022023014777-0090018000_27022023014845-0090018000_27022023015067-0090018000_27022023015106-0090018000_27022023015654-0090018000_27022023015678;1500.0
P061721401_1;14940;2500;2950;24000;1500;0090018000_27022023000101-0090018000_27022023000321-0090018000_27022023000324-0090018000_27022023000588-0090018000_27022023000962-0090018000_27022023001126-0090018000_27022023001158-0090018000_27022023001292-0090018000_27022023001352-0090018000_27022023001686-0090018000_27022023001704-0090018000_27022023001880-0090018000_27022023001989-0090018000_27022023002052-0090018000_27022023002198-0090018000_27022023002220-0090018000_27022023002374-0090018000_27022023002549-0090018000_27022023002616-0090018000_27022023002896-0090018000_27022023003218-0090018000_27022023003297-0090018000_27022023003384-0090018000_27022023003430-0090018000_27022023003742-0090018000_27022023003972-0090018000_27022023004792-0090018000_27022023004822-0090018000_27022023004980-0090018000_27022023005515-0090018000_27022023005770-0090018000_27022023005823-0090018000_27022023005953-0090018000_27022023006103-0090018000_27022023006327-0090018000_27022023006430-0090018000_27022023006707-0090018000_27022023007057-0090018000_27022023007115-0090018000_27022023007134-0090018000_27022023007135-0090018000_27022023007246-0090018000_27022023007309-0090018000_27022023007396-0090018000_27022023007456-0090018000_27022023007854-0090018000_27022023007910-0090018000_27022023008172-0090018000_27022023008387-0090018000_27022023008574-0090018000_27022023008766-0090018000_27022023008966-0090018000_27022023008993-0090018000_27022023009163-0090018000_27022023009615-0090018000_27022023009655-0090018000_27022023009745-0090018000_27022023009798-0090018000_27022023009826-0090018000_27022023009834-0090018000_27022023010090-0090018000_27022023010370-0090018000_27022023010457-0090018000_27022023010698-0090018000_27022023010737-0090018000_27022023011307-0090018000_27022023011645-0090018000_27022023011777-0090018000_27022023011817-0090018000_27022023011831-0090018000_27022023011905-0090018000_27022023012410-0090018000_27022023012500-0090018000_27022023012703-0090018000_27022023012763-0090018000_27022023012765-0090018000_27022023013052-0090018000_27022023013331-0090018000_27022023013368-0090018000_27022023013475-0090018000_27022023013538-0090018000_27022023013662-0090018000_27022023014401-0090018000_27022023014450-0090018000_27022023014731-0090018000_27022023014777-0090018000_27022023014845-0090018000_27022023015067-0090018000_27022023015106-0090018000_27022023015654-0090018000_27022023015678;1800.0
P061721701_0;14940;2500;2950;24000;1500;0090018000_27022023000016-0090018000_27022023000183-0090018000_27022023000230-0090018000_27022023000310-0090018000_27022023000348-0090018000_27022023000447-0090018000_27022023000564-0090018000_27022023000642-0090018000_27022023000645-0090018000_27022023001006-0090018000_27022023001184-0090018000_27022023001200-0090018000_27022023001210-0090018000_27022023001282-0090018000_27022023001504-0090018000_27022023001844-0090018000_27022023001968-0090018000_27022023002330-0090018000_27022023002416-0090018000_27022023002447-0090018000_27022023002543-0090018000_27022023002605-0090018000_27022023003117-0090018000_27022023003474-0090018000_27022023003719-0090018000_27022023003807-0090018000_27022023003853-0090018000_27022023003932-0090018000_27022023003937-0090018000_27022023004068-0090018000_27022023004282-0090018000_27022023004375-0090018000_27022023004472-0090018000_27022023004629-0090018000_27022023004653-0090018000_27022023004907-0090018000_27022023004911-0090018000_27022023004951-0090018000_27022023005001-0090018000_27022023005014-0090018000_27022023005054-0090018000_27022023005284-0090018000_27022023005325-0090018000_27022023005547-0090018000_27022023005630-0090018000_27022023005640-0090018000_27022023005729-0090018000_27022023005920-0090018000_27022023006014-0090018000_27022023006031-0090018000_27022023006176-0090018000_27022023006487-0090018000_27022023006599-0090018000_27022023006604-0090018000_27022023006618-0090018000_27022023006824-0090018000_27022023006955-0090018000_27022023006957-0090018000_27022023007002-0090018000_27022023007277-0090018000_27022023007382-0090018000_27022023007453-0090018000_27022023007494-0090018000_27022023007777-0090018000_27022023007877-0090018000_27022023007948-0090018000_27022023007995-0090018000_27022023008229-0090018000_27022023008324-0090018000_27022023008491-0090018000_27022023008506-0090018000_27022023008577-0090018000_27022023008605-0090018000_27022023008620-0090018000_27022023008623-0090018000_27022023008694-0090018000_27022023008705-0090018000_27022023008957-0090018000_27022023009057-0090018000_27022023009162-0090018000_27022023009182-0090018000_27022023009290-0090018000_27022023009531-0090018000_27022023009781-0090018000_27022023009800-0090018000_27022023009825-0090018000_27022023009864-0090018000_27022023010076-0090018000_27022023010121-0090018000_27022023010148-0090018000_27022023010195-0090018000_27022023010202-0090018000_27022023010407-0090018000_27022023010478-0090018000_27022023010511-0090018000_27022023010721-0090018000_27022023010740-0090018000_27022023010741-0090018000_27022023010791-0090018000_27022023010936-0090018000_27022023011204-0090018000_27022023011275-0090018000_27022023011295-0090018000_27022023011300-0090018000_27022023011431-0090018000_27022023011464-0090018000_27022023011530-0090018000_27022023011612-0090018000_27022023011635-0090018000_27022023011734-0090018000_27022023011813-0090018000_27022023011878-0090018000_27022023012053-0090018000_27022023012097-0090018000_27022023012106-0090018000_27022023012210-0090018000_27022023012447-0090018000_27022023012650-0090018000_27022023012692-0090018000_27022023012720-0090018000_27022023012858-0090018000_27022023012860-0090018000_27022023013059-0090018000_27022023013082-0090018000_27022023013106-0090018000_27022023013120-0090018000_27022023013245-0090018000_27022023013252-0090018000_27022023013266-0090018000_27022023013373-0090018000_27022023013673-0090018000_27022023013780-0090018000_27022023013878-0090018000_27022023013968-0090018000_27022023014083-0090018000_27022023014094-0090018000_27022023014511-0090018000_27022023014585-0090018000_27022023014950-0090018000_27022023014975-0090018000_27022023015014-0090018000_27022023015138-0090018000_27022023015163-0090018000_27022023015251-0090018000_27022023015385-0090018000_27022023015414-0090018000_27022023015472-0090018000_27022023015712-0090018000_27022023015775;1500.0
P061721701_1;14940;2500;2950;24000;1500;0090018000_27022023000016-0090018000_27022023000183-0090018000_27022023000230-0090018000_27022023000310-0090018000_27022023000348-0090018000_27022023000447-0090018000_27022023000564-0090018000_27022023000642-0090018000_27022023000645-0090018000_27022023001006-0090018000_27022023001184-0090018000_27022023001200-0090018000_27022023001210-0090018000_27022023001282-0090018000_27022023001504-0090018000_27022023001844-0090018000_27022023001968-0090018000_27022023002330-0090018000_27022023002416-0090018000_27022023002447-0090018000_27022023002543-0090018000_27022023002605-0090018000_27022023003117-0090018000_27022023003474-0090018000_27022023003719-0090018000_27022023003807-0090018000_27022023003853-0090018000_27022023003932-0090018000_27022023003937-0090018000_27022023004068-0090018000_27022023004282-0090018000_27022023004375-0090018000_27022023004472-0090018000_27022023004629-0090018000_27022023004653-0090018000_27022023004907-0090018000_27022023004911-0090018000_27022023004951-0090018000_27022023005001-0090018000_27022023005014-0090018000_27022023005054-0090018000_27022023005284-0090018000_27022023005325-0090018000_27022023005547-0090018000_27022023005630-0090018000_27022023005640-0090018000_27022023005729-0090018000_27022023005920-0090018000_27022023006014-0090018000_27022023006031-0090018000_27022023006176-0090018000_27022023006487-0090018000_27022023006599-0090018000_27022023006604-0090018000_27022023006618-0090018000_27022023006824-0090018000_27022023006955-0090018000_27022023006957-0090018000_27022023007002-0090018000_27022023007277-0090018000_27022023007382-0090018000_27022023007453-0090018000_27022023007494-0090018000_27022023007777-0090018000_27022023007877-0090018000_27022023007948-0090018000_27022023007995-0090018000_27022023008229-0090018000_27022023008324-0090018000_27022023008491-0090018000_27022023008506-0090018000_27022023008577-0090018000_27022023008605-0090018000_27022023008620-0090018000_27022023008623-0090018000_27022023008694-0090018000_27022023008705-0090018000_27022023008957-0090018000_27022023009057-0090018000_27022023009162-0090018000_27022023009182-0090018000_27022023009290-0090018000_27022023009531-0090018000_27022023009781-0090018000_27022023009800-0090018000_27022023009825-0090018000_27022023009864-0090018000_27022023010076-0090018000_27022023010121-0090018000_27022023010148-0090018000_27022023010195-0090018000_27022023010202-0090018000_27022023010407-0090018000_27022023010478-0090018000_27022023010511-0090018000_27022023010721-0090018000_27022023010740-0090018000_27022023010741-0090018000_27022023010791-0090018000_27022023010936-0090018000_27022023011204-0090018000_27022023011275-0090018000_27022023011295-0090018000_27022023011300-0090018000_27022023011431-0090018000_27022023011464-0090018000_27022023011530-0090018000_27022023011612-0090018000_27022023011635-0090018000_27022023011734-0090018000_27022023011813-0090018000_27022023011878-0090018000_27022023012053-0090018000_27022023012097-0090018000_27022023012106-0090018000_27022023012210-0090018000_27022023012447-0090018000_27022023012650-0090018000_27022023012692-0090018000_27022023012720-0090018000_27022023012858-0090018000_27022023012860-0090018000_27022023013059-0090018000_27022023013082-0090018000_27022023013106-0090018000_27022023013120-0090018000_27022023013245-0090018000_27022023013252-0090018000_27022023013266-0090018000_27022023013373-0090018000_27022023013673-0090018000_27022023013780-0090018000_27022023013878-0090018000_27022023013968-0090018000_27022023014083-0090018000_27022023014094-0090018000_27022023014511-0090018000_27022023014585-0090018000_27022023014950-0090018000_27022023014975-0090018000_27022023015014-0090018000_27022023015138-0090018000_27022023015163-0090018000_27022023015251-0090018000_27022023015385-0090018000_27022023015414-0090018000_27022023015472-0090018000_27022023015712-0090018000_27022023015775;1800.0
P061721701_2;14940;2500;2950;24000;1500;0090018000_27022023000016-0090018000_27022023000183-0090018000_27022023000230-0090018000_27022023000310-0090018000_27022023000348-0090018000_27022023000447-0090018000_27022023000564-0090018000_27022023000642-0090018000_27022023000645-0090018000_27022023001006-0090018000_27022023001184-0090018000_27022023001200-0090018000_27022023001210-0090018000_27022023001282-0090018000_27022023001504-0090018000_27022023001844-0090018000_27022023001968-0090018000_27022023002330-0090018000_27022023002416-0090018000_27022023002447-0090018000_27022023002543-0090018000_27022023002605-0090018000_27022023003117-0090018000_27022023003474-0090018000_27022023003719-0090018000_27022023003807-0090018000_27022023003853-0090018000_27022023003932-0090018000_27022023003937-0090018000_27022023004068-0090018000_27022023004282-0090018000_27022023004375-0090018000_27022023004472-0090018000_27022023004629-0090018000_27022023004653-0090018000_27022023004907-0090018000_27022023004911-0090018000_27022023004951-0090018000_27022023005001-0090018000_27022023005014-0090018000_27022023005054-0090018000_27022023005284-0090018000_27022023005325-0090018000_27022023005547-0090018000_27022023005630-0090018000_27022023005640-0090018000_27022023005729-0090018000_27022023005920-0090018000_27022023006014-0090018000_27022023006031-0090018000_27022023006176-0090018000_27022023006487-0090018000_27022023006599-0090018000_27022023006604-0090018000_27022023006618-0090018000_27022023006824-0090018000_27022023006955-0090018000_27022023006957-0090018000_27022023007002-0090018000_27022023007277-0090018000_27022023007382-0090018000_27022023007453-0090018000_27022023007494-0090018000_27022023007777-0090018000_27022023007877-0090018000_27022023007948-0090018000_27022023007995-0090018000_27022023008229-0090018000_27022023008324-0090018000_27022023008491-0090018000_27022023008506-0090018000_27022023008577-0090018000_27022023008605-0090018000_27022023008620-0090018000_27022023008623-0090018000_27022023008694-0090018000_27022023008705-0090018000_27022023008957-0090018000_27022023009057-0090018000_27022023009162-0090018000_27022023009182-0090018000_27022023009290-0090018000_27022023009531-0090018000_27022023009781-0090018000_27022023009800-0090018000_27022023009825-0090018000_27022023009864-0090018000_27022023010076-0090018000_27022023010121-0090018000_27022023010148-0090018000_27022023010195-0090018000_27022023010202-0090018000_27022023010407-0090018000_27022023010478-0090018000_27022023010511-0090018000_27022023010721-0090018000_27022023010740-0090018000_27022023010741-0090018000_27022023010791-0090018000_27022023010936-0090018000_27022023011204-0090018000_27022023011275-0090018000_27022023011295-0090018000_27022023011300-0090018000_27022023011431-0090018000_27022023011464-0090018000_27022023011530-0090018000_27022023011612-0090018000_27022023011635-0090018000_27022023011734-0090018000_27022023011813-0090018000_27022023011878-0090018000_27022023012053-0090018000_27022023012097-0090018000_27022023012106-0090018000_27022023012210-0090018000_27022023012447-0090018000_27022023012650-0090018000_27022023012692-0090018000_27022023012720-0090018000_27022023012858-0090018000_27022023012860-0090018000_27022023013059-0090018000_27022023013082-0090018000_27022023013106-0090018000_27022023013120-0090018000_27022023013245-0090018000_27022023013252-0090018000_27022023013266-0090018000_27022023013373-0090018000_27022023013673-0090018000_27022023013780-0090018000_27022023013878-0090018000_27022023013968-0090018000_27022023014083-0090018000_27022023014094-0090018000_27022023014511-0090018000_27022023014585-0090018000_27022023014950-0090018000_27022023014975-0090018000_27022023015014-0090018000_27022023015138-0090018000_27022023015163-0090018000_27022023015251-0090018000_27022023015385-0090018000_27022023015414-0090018000_27022023015472-0090018000_27022023015712-0090018000_27022023015775;1800.0
P061730103_0;14940;2500;2950;24000;1700;0090018000_27022023000971-0090018000_27022023001373-0090018000_27022023001390-0090018000_27022023001564-0090018000_27022023002023-0090018000_27022023002426-0090018000_27022023002537-0090018000_27022023002606-0090018000_27022023002642-0090018000_27022023002720-0090018000_27022023003312-0090018000_27022023003351-0090018000_27022023003446-0090018000_27022023003538-0090018000_27022023005619-0090018000_27022023006628-0090018000_27022023006822-0090018000_27022023006845-0090018000_27022023007011-0090018000_27022023007422-0090018000_27022023007431-0090018000_27022023007474-0090018000_27022023007552-0090018000_27022023007778-0090018000_27022023008948-0090018000_27022023009886-0090018000_27022023010818-0090018000_27022023011018-0090018000_27022023011109-0090018000_27022023012668-0090018000_27022023013186-0090018000_27022023013936-0090018000_27022023013995-0090018000_27022023014168-0090018000_27022023015856;1500.0
P061730103_1;14940;2500;2950;24000;1700;0090018000_27022023000971-0090018000_27022023001373-0090018000_27022023001390-0090018000_27022023001564-0090018000_27022023002023-0090018000_27022023002426-0090018000_27022023002537-0090018000_27022023002606-0090018000_27022023002642-0090018000_27022023002720-0090018000_27022023003312-0090018000_27022023003351-0090018000_27022023003446-0090018000_27022023003538-0090018000_27022023005619-0090018000_27022023006628-0090018000_27022023006822-0090018000_27022023006845-0090018000_27022023007011-0090018000_27022023007422-0090018000_27022023007431-0090018000_27022023007474-0090018000_27022023007552-0090018000_27022023007778-0090018000_27022023008948-0090018000_27022023009886-0090018000_27022023010818-0090018000_27022023011018-0090018000_27022023011109-0090018000_27022023012668-0090018000_27022023013186-0090018000_27022023013936-0090018000_27022023013995-0090018000_27022023014168-0090018000_27022023015856;1800.0
P061730103_2;14940;2500;2950;24000;1700;0090018000_27022023000971-0090018000_27022023001373-0090018000_27022023001390-0090018000_27022023001564-0090018000_27022023002023-0090018000_27022023002426-0090018000_27022023002537-0090018000_27022023002606-0090018000_27022023002642-0090018000_27022023002720-0090018000_27022023003312-0090018000_27022023003351-0090018000_27022023003446-0090018000_27022023003538-0090018000_27022023005619-0090018000_27022023006628-0090018000_27022023006822-0090018000_27022023006845-0090018000_27022023007011-0090018000_27022023007422-0090018000_27022023007431-0090018000_27022023007474-0090018000_27022023007552-0090018000_27022023007778-0090018000_27022023008948-0090018000_27022023009886-0090018000_27022023010818-0090018000_27022023011018-0090018000_27022023011109-0090018000_27022023012668-0090018000_27022023013186-0090018000_27022023013936-0090018000_27022023013995-0090018000_27022023014168-0090018000_27022023015856;1800.0
P061730105_0;14940;2500;2950;24000;1700;0090018000_27022023001226-0090018000_27022023001764-0090018000_27022023001928-0090018000_27022023002257-0090018000_27022023002405-0090018000_27022023002861-0090018000_27022023003063-0090018000_27022023003330-0090018000_27022023003566-0090018000_27022023004265-0090018000_27022023004484-0090018000_27022023004778-0090018000_27022023004886-0090018000_27022023005555-0090018000_27022023005945-0090018000_27022023006731-0090018000_27022023007229-0090018000_27022023007248-0090018000_27022023007310-0090018000_27022023007326-0090018000_27022023007349-0090018000_27022023007561-0090018000_27022023007974-0090018000_27022023008173-0090018000_27022023008258-0090018000_27022023008336-0090018000_27022023008784-0090018000_27022023009284-0090018000_27022023009663-0090018000_27022023010011-0090018000_27022023010012-0090018000_27022023010498-0090018000_27022023010864-0090018000_27022023011779-0090018000_27022023012075-0090018000_27022023012115-0090018000_27022023012245-0090018000_27022023012364-0090018000_27022023012372-0090018000_27022023012687-0090018000_27022023012749-0090018000_27022023013214-0090018000_27022023013220-0090018000_27022023013249-0090018000_27022023013262-0090018000_27022023013415-0090018000_27022023013881-0090018000_27022023013908-0090018000_27022023014834-0090018000_27022023014835-0090018000_27022023015117;1500.0
P061730105_1;14940;2500;2950;24000;1700;0090018000_27022023001226-0090018000_27022023001764-0090018000_27022023001928-0090018000_27022023002257-0090018000_27022023002405-0090018000_27022023002861-0090018000_27022023003063-0090018000_27022023003330-0090018000_27022023003566-0090018000_27022023004265-0090018000_27022023004484-0090018000_27022023004778-0090018000_27022023004886-0090018000_27022023005555-0090018000_27022023005945-0090018000_27022023006731-0090018000_27022023007229-0090018000_27022023007248-0090018000_27022023007310-0090018000_27022023007326-0090018000_27022023007349-0090018000_27022023007561-0090018000_27022023007974-0090018000_27022023008173-0090018000_27022023008258-0090018000_27022023008336-0090018000_27022023008784-0090018000_27022023009284-0090018000_27022023009663-0090018000_27022023010011-0090018000_27022023010012-0090018000_27022023010498-0090018000_27022023010864-0090018000_27022023011779-0090018000_27022023012075-0090018000_27022023012115-0090018000_27022023012245-0090018000_27022023012364-0090018000_27022023012372-0090018000_27022023012687-0090018000_27022023012749-0090018000_27022023013214-0090018000_27022023013220-0090018000_27022023013249-0090018000_27022023013262-0090018000_27022023013415-0090018000_27022023013881-0090018000_27022023013908-0090018000_27022023014834-0090018000_27022023014835-0090018000_27022023015117;1800.0
