ID;Length;Width;Height;Weight;Density;ListOfItems;TruckCost
P065402701_0;13500;2440;2600;24000;1500;0090012500_27022023001237-0090012500_27022023002117;1500.0
P065402701_1;13500;2440;2600;24000;1500;0090012500_27022023001237-0090012500_27022023002117;1800.0
P065402703_0;13500;2440;2600;24000;1500;0090012500_27022023000018-0090012500_27022023000091-0090012500_27022023000227-0090012500_27022023000330-0090012500_27022023000633-0090012500_27022023000664-0090012500_27022023000675-0090012500_27022023000922-0090012500_27022023000950-0090012500_27022023001109-0090012500_27022023001210-0090012500_27022023001556-0090012500_27022023001667-0090012500_27022023001704-0090012500_27022023001740-0090012500_27022023001811-0090012500_27022023001905-0090012500_27022023002046-0090012500_27022023002147;1500.0
P065402703_1;13500;2440;2600;24000;1500;0090012500_27022023000018-0090012500_27022023000091-0090012500_27022023000227-0090012500_27022023000330-0090012500_27022023000633-0090012500_27022023000664-0090012500_27022023000675-0090012500_27022023000922-0090012500_27022023000950-0090012500_27022023001109-0090012500_27022023001210-0090012500_27022023001556-0090012500_27022023001667-0090012500_27022023001704-0090012500_27022023001740-0090012500_27022023001811-0090012500_27022023001905-0090012500_27022023002046-0090012500_27022023002147;1800.0
P067404901_0;13500;2440;2900;24000;1500;0090012500_27022023000304-0090012500_27022023000382-0090012500_27022023001160-0090012500_27022023001425-0090012500_27022023001742-0090012500_27022023002133;1500.0
P067404901_1;13500;2440;2900;24000;1500;0090012500_27022023000304-0090012500_27022023000382-0090012500_27022023001160-0090012500_27022023001425-0090012500_27022023001742-0090012500_27022023002133;1800.0
P068402703_0;13500;2440;2600;24000;1500;0090012500_27022023000076-0090012500_27022023000146-0090012500_27022023000208-0090012500_27022023000234-0090012500_27022023000239-0090012500_27022023000330-0090012500_27022023000393-0090012500_27022023000497-0090012500_27022023000633-0090012500_27022023000664-0090012500_27022023000675-0090012500_27022023000922-0090012500_27022023000950-0090012500_27022023001109-0090012500_27022023001147-0090012500_27022023001210-0090012500_27022023001281-0090012500_27022023001458-0090012500_27022023001509-0090012500_27022023001522-0090012500_27022023001534-0090012500_27022023001566-0090012500_27022023001704-0090012500_27022023001880-0090012500_27022023002195-0090012500_27022023002276-0090012500_27022023002289-0090012500_27022023002295-0090012500_27022023002297;1500.0
P068402703_1;13500;2440;2600;24000;1500;0090012500_27022023000076-0090012500_27022023000146-0090012500_27022023000208-0090012500_27022023000234-0090012500_27022023000239-0090012500_27022023000330-0090012500_27022023000393-0090012500_27022023000497-0090012500_27022023000633-0090012500_27022023000664-0090012500_27022023000675-0090012500_27022023000922-0090012500_27022023000950-0090012500_27022023001109-0090012500_27022023001147-0090012500_27022023001210-0090012500_27022023001281-0090012500_27022023001458-0090012500_27022023001509-0090012500_27022023001522-0090012500_27022023001534-0090012500_27022023001566-0090012500_27022023001704-0090012500_27022023001880-0090012500_27022023002195-0090012500_27022023002276-0090012500_27022023002289-0090012500_27022023002295-0090012500_27022023002297;1800.0
P068413601_0;13500;2440;2800;24000;1500;0090012500_27022023000177-0090012500_27022023000374-0090012500_27022023000530-0090012500_27022023000875-0090012500_27022023000907-0090012500_27022023001339-0090012500_27022023001728-0090012500_27022023002075-0090012500_27022023002263-0090012500_27022023002304;1500.0
P068413601_1;13500;2440;2800;24000;1500;0090012500_27022023000177-0090012500_27022023000374-0090012500_27022023000530-0090012500_27022023000875-0090012500_27022023000907-0090012500_27022023001339-0090012500_27022023001728-0090012500_27022023002075-0090012500_27022023002263-0090012500_27022023002304;1800.0
