ID;Nbr;Length;Width;Height;NestedHeight;Weight;SC;MaxStackability;Orientation;ListOfTrucks;ListOfInventoryCosts
0090017000_03072022000001;1;1206;1010;1185;0;801.15;GERB--0528_1206_1010;100;none;P210422701_0-P210422701_1-P210422701_2-P209422701_0-P209422701_1-P209422701_2-P208422701_0-P208422701_1-P208422701_2-P207422701_0-P207422701_1-P207422701_2;0-0-0-90-90-90-180-180-180-270-270-270
0090017000_03072022000002;1;1206;1010;485;0;49.6;GERB--0528_1206_1010;100;none;P215274203_0-P215274203_1-P215274203_2-P214274203_0-P214274203_1;0-0-0-300-300
0090017000_03072022000003;5;1600;1200;750;45;138.624;GERB--1613_1600_1200;100;none;P206273001_0-P206273001_1-P203273001_0-P203273001_1-P203273001_2;0-0-60-60-60
0090017000_03072022000004;1;1206;1010;785;0;115.0;GERB--0528_1206_1010;100;none;P224272503_0-P224272503_1-P224272503_2-P223272503_0-P223272503_1-P222272503_0-P222272503_1-P221272503_0-P221272503_1;0-0-0-560-560-1120-1120-1680-1680
0090017000_03072022000005;1;1200;1000;975;45;139.05;GERB--1213_1200_1000;100;none;P195421403_0-P195421403_1;0-0
0090017000_03072022000006;6;800;600;560;42;134.2;GERB--0588_800_600;100;none;P214422701_0-P214422701_1-P214422701_2-P213422701_0-P213422701_1-P213422701_2-P211422701_0-P211422701_1-P211422701_2-P210422701_0-P210422701_1-P210422701_2;0-0-0-30-30-30-90-90-90-120-120-120
0090017000_03072022000007;1;1200;1000;975;45;539.775;GERB--0061_1200_1000;100;none;P217425001_0-P217425001_1-P217425001_2-P217425005_0-P217425005_1-P216425001_0-P216425001_1-P215425001_0-P215425001_1-P215425001_2-P214425001_0-P214425001_1-P214425001_2-P214425005_0-P214425005_1;0-0-0-0-0-70-70-140-140-140-210-210-210-210-210
0090017000_03072022000008;1;1200;1000;1145;0;195.4;GERB--3551_1200_1000;100;none;P222274203_0-P222274203_1;0-0
0090017000_03072022000009;1;1200;1000;750;45;179.0;GERB--1213_1200_1000;100;none;P227422701_0-P227422701_1-P227422701_2-P225422701_0-P225422701_1-P225422701_2-P224422701_0-P224422701_1-P224422701_2-P223422701_0-P223422701_1-P223422701_2;0-0-0-40-40-40-60-60-60-80-80-80
0090017000_03072022000010;6;1600;1200;930;45;196.3;GERB--1613_1600_1200;100;none;P215273401_0-P215273401_1-P214273401_0-P214273401_1-P213273401_0-P213273401_1;0-0-100-100-200-200
