ID;Nbr;Length;Width;Height;NestedHeight;Weight;SC;MaxStackability;Orientation;ListOfTrucks;ListOfInventoryCosts
0090018400_26102022000001;3;800;600;560;42;386.75;GERB--0588_800_600;100;none;P328305201_0-P328305201_1;0-0
0090018400_26102022000002;3;800;600;560;42;416.0;GERB--0588_800_600;100;none;P318305201_0-P318305201_1;0-0
0090018400_26102022000003;2;800;600;560;42;351.5;GERB--0588_800_600;100;none;P346305201_0-P346305201_1;0-0
0090018400_26102022000004;15;1275;1014;840;140;1287.0;GERB--0051_1275_1014;3;none;P341097701_0-P341097701_1;0-0
0090018400_26102022000005;3;800;600;560;42;396.38;GERB--0588_800_600;100;none;P327305201_0-P327305201_1;0-0
0090018400_26102022000006;2;1275;1014;840;140;1189.0;GERB--0051_1275_1014;3;none;P341097701_0-P341097701_1;0-0
0090018400_26102022000007;3;800;600;560;42;386.75;GERB--0588_800_600;100;none;P313305201_0-P313305201_1;0-0
0090018400_26102022000008;3;800;600;560;42;396.38;GERB--0588_800_600;100;none;P335305201_0-P335305201_1;0-0
0090018400_26102022000009;7;800;600;560;42;398.75;GERB--0588_800_600;100;none;P349305201_0-P349305201_1;0-0
0090018400_26102022000010;3;800;600;560;42;416.0;GERB--0588_800_600;100;none;P327305201_0-P327305201_1;0-0
0090018400_26102022000011;2;800;600;560;42;455.2;GERB--0588_800_600;100;none;P349305201_0-P349305201_1;0-0
0090018400_26102022000012;3;800;600;560;42;416.0;GERB--0588_800_600;100;none;P335305201_0-P335305201_1;0-0
0090018400_26102022000013;3;800;600;560;42;368.75;GERB--0588_800_600;100;none;P325305201_0-P325305201_1;0-0
0090018400_26102022000014;3;800;600;560;42;396.38;GERB--0588_800_600;100;none;P318305201_0-P318305201_1;0-0
0090018400_26102022000015;9;800;600;560;42;398.75;GERB--0588_800_600;100;none;P332305201_0-P332305201_1;0-0
0090018400_26102022000016;2;800;600;560;42;395.0;GERB--0588_800_600;100;none;P320305201_0-P320305201_1;0-0
0090018400_26102022000017;3;800;600;560;42;368.75;GERB--0588_800_600;100;none;P341305201_0-P341305201_1;0-0
0090018400_26102022000018;3;800;600;560;42;386.75;GERB--0588_800_600;100;none;P353305201_0-P353305201_1;0-0
0090018400_26102022000019;3;800;600;560;42;386.75;GERB--0588_800_600;100;none;P339305201_0-P339305201_1;0-0
0090018400_26102022000020;4;800;600;560;42;639.25;GERB--0588_800_600;100;none;P320305201_0-P320305201_1;0-0
0090018400_26102022000021;7;800;600;560;42;398.75;GERB--0588_800_600;100;none;P346305201_0-P346305201_1;0-0
